Task,Plan,Date,Start,End,Duration,Notes
Task with labels,Plan Test,2026-03-23,01:42:00,01:48:00,0:06:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:47:00,0:05:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:46:00,0:04:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:45:00,0:03:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:43:00,0:01:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:43:00,0:01:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:43:00,0:01:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:43:00,0:01:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:43:00,0:01:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:44:00,0:02:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:44:00,0:02:00,
Task with labels,Plan Test,2026-03-23,01:42:00,01:43:00,0:01:00,
Task with labels,Plan Test,2026-03-23,01:41:00,01:42:00,0:01:00,
Tash test checklist,Plan Test,2026-03-21,17:06:10,17:06:36,0:00:25,
Tash test checklist,Plan Test,2026-03-21,17:05:00,05:11:00,12:06:00,akafuka fundaluka
Task with labels,Plan Test,2026-03-21,16:05:00,16:06:00,0:01:00,akafuka
Tash test checklist,Plan Test,2026-03-20,22:08:53,22:10:12,0:01:19,
Due date task,Plan Test,2026-03-20,11:11:00,14:39:00,3:28:00,akafuka
Due date task,Plan Test,2026-03-17,13:15:00,14:30:00,1:15:00,akafuka
Task to assign tasks,Plan Test,2026-03-11,10:30:00,10:45:00,0:15:00,
Task to assign tasks,Plan Test,2026-03-03,10:14:00,13:33:00,3:19:00,
Grand Total,,,,,20:54:44,
